video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
27cc78b0-9192-54aa-8573-d145d4dae9cd,aaa3da05-e144-5d8a-b164-dc82323a7dd2,Other,same_site_diff_session,0.7922,0.6212,0.9213,0.7261,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,d1d24a75-7e20-5eb9-aee5-03579841f7ab,Other,same_site_diff_session,0.8449,0.6832,0.8816,0.7696,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,d5d91393-cb7e-5f9e-9e29-97fda46fefbd,Other,same_site_diff_session,0.9176,0.7575,0.8767,0.8314,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,f120d01b-96cc-52ff-935b-7e2a93f4c297,Other,same_site_diff_session,0.6878,0.5528,0.9014,0.6524,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,f31c3bed-0fdd-5d48-b670-987b6fad70a9,Other,same_site_diff_session,0.8644,0.6901,0.9066,0.7836,100.0,SAME_ENV
27cc78b0-9192-54aa-8573-d145d4dae9cd,f6ee5ec0-d3a1-5e59-a930-1a33af1e2ad1,Other,same_site_diff_session,0.8355,0.6538,0.9072,0.7554,100.0,SAME_ENV
29704745-81ce-5251-b49e-425fb838866f,ea301a20-a769-551d-be69-4b17ac96e701,Other,same_site_diff_session,0.8241,0.5556,0.9506,0.7088,100.0,SAME_ENV
2a2240d7-bbad-5df4-8884-7f23cabe54d1,822a4bc2-b39b-57b0-8079-2a709d083544,Other,same_session_distant,0.9528,0.7313,0.9732,0.8451,100.0,SAME_ENV
2a2240d7-bbad-5df4-8884-7f23cabe54d1,d77f9170-128a-576c-aa05-98853e1fe4c0,Other,same_site_diff_session,0.7396,0.5695,0.9053,0.6794,100.0,SAME_ENV
31533fea-0789-5c61-a095-046e694eed27,4113eb7a-2c99-5b4d-ac16-913f679adeeb,Other,same_site_diff_session,0.8457,0.6087,0.9385,0.7411,100.0,SAME_ENV
